"ntree","nleaf","k","kfold","train","train.ave","test","test.ave"
1,6,4,10,1.0307023525238,1.04467225074768,1.16365194320679,1.05213904380798
1,6,5,10,1.02879917621613,1.04149758815765,1.18159854412079,1.07803094387054
1,6,6,10,1.03679883480072,1.04071450233459,1.14515805244446,1.08921885490417
1,6,7,10,1.02531397342682,1.03851437568665,1.1089061498642,1.09203135967255
1,6,8,10,1.04165124893188,1.03890645503998,1.07474875450134,1.08987104892731
1,6,9,10,1.05991065502167,1.04124021530151,0.969606995582581,1.0765084028244
1,6,10,10,1.0047265291214,1.03758883476257,1.12423753738403,1.08128130435944
1,7,1,10,1.04861509799957,1.04861509799957,1.00408542156219,1.00408542156219
1,7,2,10,1.05397987365723,1.05129742622375,0.951659679412842,0.977872550487518
1,7,3,10,1.04164218902588,1.04807901382446,1.08894741535187,1.01489746570587
1,7,4,10,1.0307023525238,1.04373478889465,1.16365194320679,1.05208611488342
1,7,5,10,1.02879917621613,1.04074764251709,1.18159854412079,1.07798862457275
1,7,6,10,1.03679883480072,1.04008948802948,1.14515793323517,1.08918356895447
1,7,7,10,1.0227142572403,1.03760731220245,1.1053147315979,1.09148800373077
1,7,8,10,1.03765296936035,1.03761303424835,1.07445752620697,1.08935916423798
1,7,9,10,1.05991065502167,1.04009056091309,0.969606995582581,1.07605338096619
1,7,10,10,1.02830493450165,1.03891205787659,1.15212571620941,1.08366060256958
2,2,1,10,1.05522871017456,1.05522871017456,1.00395846366882,1.00395846366882
2,2,2,10,1.06074035167694,1.0579845905304,0.949395835399628,0.976677179336548
2,2,3,10,1.11501264572144,1.07699394226074,1.1736387014389,1.0423309803009
2,2,4,10,1.11061942577362,1.08540034294128,1.20969676971436,1.08417248725891
2,2,5,10,1.0966591835022,1.08765208721161,1.332972407341,1.13393247127533
2,2,6,10,1.04406547546387,1.08038759231567,1.10957765579224,1.12987327575684
2,2,7,10,1.10525572299957,1.08394014835358,1.26282668113708,1.14886665344238
